Distancia,Velocidad,Salto
1150,-50,0
1126,-24,0
1102,-24,0
1078,-24,0
1054,-24,0
1030,-24,0
1006,-24,0
982,-24,0
958,-24,0
934,-24,0
910,-24,0
886,-24,0
862,-24,0
838,-24,0
814,-24,0
790,-24,0
766,-24,0
742,-24,0
718,-24,0
694,-24,0
670,-24,0
646,-24,0
622,-24,0
598,-24,0
574,-24,0
550,-24,0
526,-24,0
502,-24,0
478,-24,0
454,-24,0
430,-24,0
406,-24,0
382,-24,1
358,-24,1
334,-24,1
310,-24,1
286,-24,1
262,-24,1
238,-24,1
214,-24,1
190,-24,1
166,-24,1
142,-24,1
118,-24,1
94,-24,1
70,-24,1
46,-24,1
22,-24,1
2,-24,1
26,-24,1
50,-24,1
886,-24,0
862,-24,0
838,-24,0
814,-24,0
790,-24,0
766,-24,0
742,-24,0
718,-24,0
694,-24,0
670,-24,0
646,-24,0
622,-24,0
598,-24,0
574,-24,0
550,-24,0
526,-24,0
502,-24,0
478,-24,0
454,-24,0
430,-24,0
406,-24,0
382,-24,1
358,-24,1
334,-24,1
310,-24,1
286,-24,1
262,-24,1
238,-24,1
214,-24,1
190,-24,1
166,-24,1
142,-24,1
118,-24,1
94,-24,1
70,-24,1
46,-24,1
22,-24,1
2,-24,1
26,-24,1
50,-24,1
886,-24,0
862,-24,0
838,-24,0
814,-24,0
790,-24,0
766,-24,0
742,-24,0
718,-24,0
694,-24,0
670,-24,0
646,-24,0
622,-24,0
598,-24,0
574,-24,0
550,-24,0
526,-24,0
502,-24,0
478,-24,0
454,-24,0
430,-24,0
406,-24,0
382,-24,0
358,-24,0
334,-24,0
310,-24,1
286,-24,1
262,-24,1
238,-24,1
214,-24,1
190,-24,1
166,-24,1
142,-24,1
118,-24,1
94,-24,1
70,-24,1
46,-24,1
22,-24,1
2,-24,1
26,-24,1
50,-24,1
886,-24,1
862,-24,1
838,-24,1
814,-24,0
790,-24,0
766,-24,0
742,-24,0
718,-24,0
694,-24,0
670,-24,0
646,-24,0
622,-24,0
598,-24,0
574,-24,0
550,-24,0
526,-24,0
502,-24,0
478,-24,0
454,-24,0
430,-24,0
406,-24,1
382,-24,1
358,-24,1
334,-24,1
310,-24,1
286,-24,1
262,-24,1
238,-24,1
214,-24,1
190,-24,1
166,-24,1
142,-24,1
118,-24,1
94,-24,1
70,-24,1
46,-24,1
22,-24,1
2,-24,1
26,-24,1
50,-24,1
930,-22,0
908,-22,0
886,-22,0
864,-22,0
842,-22,0
820,-22,0
798,-22,0
776,-22,0
754,-22,0
732,-22,0
710,-22,0
688,-22,0
666,-22,0
644,-22,0
622,-22,0
600,-22,0
578,-22,0
556,-22,0
534,-22,0
512,-22,0
490,-22,0
468,-22,0
446,-22,0
424,-22,0
402,-22,0
380,-22,0
358,-22,1
336,-22,1
314,-22,1
292,-22,1
270,-22,1
248,-22,1
226,-22,1
204,-22,1
182,-22,1
160,-22,1
138,-22,1
116,-22,1
94,-22,1
72,-22,1
50,-22,1
28,-22,1
6,-22,1
16,-22,1
38,-22,1
930,-20,0
910,-20,0
890,-20,0
870,-20,0
850,-20,0
830,-20,0
810,-20,0
790,-20,0
770,-20,0
750,-20,0
730,-20,0
710,-20,0
690,-20,0
670,-20,0
650,-20,0
630,-20,0
610,-20,0
590,-20,0
570,-20,0
550,-20,0
530,-20,0
510,-20,0
490,-20,0
470,-20,0
450,-20,0
430,-20,0
410,-20,0
390,-20,0
370,-20,0
350,-20,0
330,-20,0
310,-20,0
290,-20,1
270,-20,1
250,-20,1
230,-20,1
210,-20,1
190,-20,1
170,-20,1
150,-20,1
130,-20,1
110,-20,1
90,-20,1
70,-20,1
50,-20,1
30,-20,1
10,-20,1
10,-20,1
30,-20,1
50,-20,1
910,-20,0
890,-20,0
870,-20,0
850,-20,0
830,-20,0
810,-20,0
790,-20,0
770,-20,0
750,-20,0
730,-20,0
710,-20,0
690,-20,0
670,-20,0
650,-20,0
630,-20,0
610,-20,0
590,-20,0
570,-20,0
550,-20,0
530,-20,0
510,-20,0
490,-20,0
470,-20,0
450,-20,0
430,-20,0
410,-20,0
390,-20,0
370,-20,0
350,-20,0
330,-20,0
310,-20,0
290,-20,1
270,-20,1
250,-20,1
230,-20,1
210,-20,1
190,-20,1
170,-20,1
150,-20,1
130,-20,1
110,-20,1
90,-20,1
70,-20,1
50,-20,1
30,-20,1
10,-20,1
10,-20,1
30,-20,1
50,-20,1
886,-22,0
864,-22,0
842,-22,0
820,-22,0
798,-22,0
776,-22,0
754,-22,0
732,-22,0
710,-22,0
688,-22,0
666,-22,0
644,-22,0
622,-22,0
600,-22,0
578,-22,0
556,-22,0
534,-22,0
512,-22,0
490,-22,0
468,-22,0
446,-22,0
424,-22,0
402,-22,0
380,-22,0
358,-22,0
336,-22,0
314,-22,1
292,-22,1
270,-22,1
248,-22,1
226,-22,1
204,-22,1
182,-22,1
160,-22,1
138,-22,1
116,-22,1
94,-22,1
72,-22,1
50,-22,1
28,-22,1
6,-22,1
16,-22,1
38,-22,1
890,-20,0
870,-20,0
850,-20,0
830,-20,0
810,-20,0
790,-20,0
770,-20,0
750,-20,0
730,-20,0
710,-20,0
690,-20,0
670,-20,0
650,-20,0
630,-20,0
610,-20,0
590,-20,0
570,-20,0
550,-20,0
530,-20,0
510,-20,0
490,-20,0
470,-20,0
450,-20,0
430,-20,0
410,-20,0
390,-20,0
370,-20,0
350,-20,0
330,-20,0
310,-20,0
290,-20,0
270,-20,1
250,-20,1
230,-20,1
210,-20,1
190,-20,1
170,-20,1
150,-20,1
130,-20,1
110,-20,1
90,-20,1
70,-20,1
50,-20,1
30,-20,1
10,-20,1
10,-20,1
30,-20,1
50,-20,1
890,-20,0
870,-20,0
850,-20,0
830,-20,0
810,-20,0
790,-20,0
770,-20,0
750,-20,0
730,-20,0
710,-20,0
690,-20,0
670,-20,0
650,-20,0
630,-20,0
610,-20,0
590,-20,0
570,-20,0
550,-20,0
530,-20,0
510,-20,0
490,-20,0
470,-20,0
450,-20,0
430,-20,0
410,-20,0
390,-20,0
370,-20,0
350,-20,0
330,-20,0
310,-20,1
290,-20,1
270,-20,1
250,-20,1
230,-20,1
210,-20,1
190,-20,1
170,-20,1
150,-20,1
130,-20,1
110,-20,1
90,-20,1
70,-20,1
50,-20,1
30,-20,1
10,-20,1
10,-20,1
30,-20,1
50,-20,1
930,-20,0
910,-20,0
890,-20,0
870,-20,0
850,-20,0
830,-20,0
810,-20,0
790,-20,0
770,-20,0
750,-20,0
730,-20,0
710,-20,0
690,-20,0
670,-20,0
650,-20,0
630,-20,0
610,-20,0
590,-20,0
570,-20,0
550,-20,0
530,-20,0
510,-20,0
490,-20,0
470,-20,0
450,-20,0
430,-20,0
410,-20,0
390,-20,0
370,-20,0
350,-20,0
330,-20,0
310,-20,0
290,-20,1
270,-20,1
250,-20,1
230,-20,1
210,-20,1
190,-20,1
170,-20,1
150,-20,1
130,-20,1
110,-20,1
90,-20,1
70,-20,1
50,-20,1
30,-20,1
10,-20,1
10,-20,1
30,-20,1
50,-20,1
900,-25,1
875,-25,1
850,-25,0
825,-25,0
800,-25,0
775,-25,0
750,-25,0
725,-25,0
700,-25,0
675,-25,0
650,-25,0
625,-25,0
600,-25,0
575,-25,0
550,-25,0
525,-25,0
500,-25,0
475,-25,0
450,-25,0
425,-25,0
400,-25,0
375,-25,0
350,-25,0
325,-25,0
300,-25,0
275,-25,1
250,-25,1
225,-25,1
200,-25,1
175,-25,1
