Distancia_Bala,Velocidad_Bala,Distancia_Bala2,Salto,Izquierda
1280,-20,595,0,0
1257,-23,577,0,0
1234,-23,559,0,0
1211,-23,541,0,0
1188,-23,523,0,0
1165,-23,505,0,0
1142,-23,487,0,0
1119,-23,469,0,0
1096,-23,451,0,0
1073,-23,433,0,0
1050,-23,415,0,0
1027,-23,397,0,0
1004,-23,379,0,0
981,-23,361,0,0
958,-23,343,0,0
935,-23,325,0,0
912,-23,307,0,0
889,-23,289,0,0
866,-23,271,0,0
843,-23,253,0,0
820,-23,235,0,0
797,-23,217,0,0
784,-23,199,0,1
771,-23,181,0,1
758,-23,163,0,1
745,-23,145,0,1
732,-23,127,0,1
719,-23,109,0,1
706,-23,91,0,1
693,-23,73,0,1
680,-23,55,0,1
667,-23,37,0,1
654,-23,19,0,1
641,-23,1,0,1
608,-23,17,0,1
575,-23,35,0,1
542,-23,53,0,1
509,-23,71,0,1
476,-23,89,0,1
443,-23,107,0,1
410,-23,605,0,0
377,-23,587,0,0
344,-23,569,0,0
311,-23,551,0,0
278,-23,533,0,0
250,-23,495,1,0
222,-23,460,1,0
199,-23,427,1,0
176,-23,397,1,0
153,-23,369,1,0
130,-23,344,1,0
107,-23,321,1,0
84,-23,301,1,0
61,-23,283,1,0
38,-23,268,1,0
15,-23,255,1,0
8,-23,245,1,0
31,-23,237,1,0
54,-23,232,1,0
77,-23,229,1,0
1280,-23,229,0,0
1257,-23,227,0,0
1234,-23,209,0,0
1211,-23,191,0,0
1188,-23,173,0,0
1175,-23,155,0,1
1162,-23,137,0,1
1149,-23,119,0,1
1136,-23,101,0,1
1123,-23,83,0,1
1110,-23,65,0,1
1097,-23,47,0,1
1084,-23,29,0,1
1071,-23,11,0,1
1058,-23,7,0,1
1045,-23,25,0,1
1032,-23,43,0,1
999,-23,61,0,1
966,-23,79,0,1
933,-23,97,0,1
900,-23,115,0,1
867,-23,605,0,0
834,-23,587,0,0
801,-23,569,0,0
768,-23,551,0,0
735,-23,533,0,0
702,-23,515,0,0
669,-23,497,0,0
636,-23,479,0,0
613,-23,461,0,0
590,-23,443,0,0
567,-23,425,0,0
544,-23,407,0,0
521,-23,389,0,0
498,-23,371,0,0
475,-23,353,0,0
452,-23,335,0,0
429,-23,317,0,0
406,-23,299,0,0
383,-23,281,0,0
360,-23,263,0,0
347,-23,245,0,1
334,-23,227,0,1
321,-23,209,0,1
308,-23,191,0,1
295,-23,173,0,1
282,-23,155,0,1
269,-23,137,0,1
256,-23,119,0,1
243,-23,81,1,1
230,-23,46,1,1
217,-23,13,1,1
204,-23,17,1,1
176,-23,45,1,1
148,-23,70,1,1
120,-23,93,1,1
92,-23,113,1,1
64,-23,131,1,1
36,-23,146,1,1
8,-23,159,1,1
1360,-23,169,0,1
1334,-21,177,0,1
1308,-21,556,0,0
1282,-21,553,0,0
1256,-21,553,0,0
1225,-21,551,0,0
1194,-21,533,0,0
1163,-21,515,0,0
1132,-21,497,0,0
1101,-21,479,0,0
1070,-21,461,0,0
1049,-21,443,0,0
1028,-21,425,0,0
1007,-21,407,0,0
986,-21,389,0,0
965,-21,371,0,0
944,-21,353,0,0
923,-21,335,0,0
902,-21,317,0,0
881,-21,299,0,0
860,-21,281,0,0
839,-21,263,0,0
818,-21,245,0,0
797,-21,227,0,0
776,-21,209,0,0
755,-21,191,0,0
744,-21,173,0,1
733,-21,155,0,1
722,-21,137,0,1
711,-21,119,0,1
700,-21,101,0,1
689,-21,83,0,1
678,-21,65,0,1
667,-21,47,0,1
656,-21,29,0,1
645,-21,11,0,1
634,-21,7,0,1
623,-21,25,0,1
592,-21,43,0,1
561,-21,61,0,1
530,-21,79,0,1
499,-21,97,0,1
468,-21,115,0,1
437,-21,605,0,0
406,-21,587,0,0
375,-21,569,0,0
344,-21,551,0,0
313,-21,533,0,0
282,-21,515,0,0
251,-21,497,0,0
230,-21,459,1,0
209,-21,424,1,0
188,-21,391,1,0
167,-21,361,1,0
146,-21,333,1,0
125,-21,308,1,0
104,-21,285,1,0
83,-21,265,1,0
62,-21,247,1,0
41,-21,232,1,0
20,-21,219,1,0
1,-21,209,1,0
22,-21,201,1,0
43,-21,196,1,0
64,-21,193,1,0
85,-21,193,1,0
1280,-21,191,0,0
1257,-23,173,0,0
1244,-23,155,0,1
1231,-23,137,0,1
1218,-23,119,0,1
1205,-23,101,0,1
1192,-23,83,0,1
1179,-23,65,0,1
1166,-23,47,0,1
1153,-23,29,0,1
1140,-23,11,0,1
1127,-23,7,0,1
1114,-23,25,0,1
1101,-23,43,0,1
1068,-23,61,0,1
1035,-23,79,0,1
1002,-23,97,0,1
969,-23,115,0,1
936,-23,605,0,0
903,-23,587,0,0
870,-23,569,0,0
837,-23,551,0,0
804,-23,533,0,0
771,-23,515,0,0
738,-23,497,0,0
705,-23,479,0,0
682,-23,461,0,0
659,-23,443,0,0
636,-23,425,0,0
613,-23,407,0,0
590,-23,389,0,0
567,-23,371,0,0
544,-23,353,0,0
521,-23,335,0,0
498,-23,317,0,0
475,-23,299,0,0
452,-23,281,0,0
429,-23,263,0,0
406,-23,245,0,0
383,-23,227,0,0
360,-23,209,0,0
337,-23,191,0,0
324,-23,173,0,1
311,-23,155,0,1
298,-23,137,0,1
285,-23,119,0,1
272,-23,101,0,1
259,-23,83,0,1
246,-23,65,0,1
233,-23,47,0,1
220,-23,29,0,1
207,-23,9,1,1
194,-23,44,1,1
181,-23,77,1,1
153,-23,107,1,1
125,-23,135,1,1
97,-23,160,1,1
69,-23,183,1,1
